Name,Price,Brand,URL,Image_URL,Category,Description
Bauer Vapor X5 Pro Senior Ice Hockey Skates With Runner,$657.49,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x5-pro-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698587647-ti-1-new-1_2.jpg,Skates,"Introducing the next evolution of the Vapor hockey skate line, The Bauer Vapor X5 Pro Ice Hockey Skates. Engineered to elevate your game to new heights, these skates combine cutting-edge technology, superior comfort, and enhanced responsiveness for an elite on-ice experience. Crafted with precision and meticulous attention to detail, the Vapor X5 Pro feature a lightweight and durable construction. The 3D lasted CURV Composite quarter package provides exceptional stiffness and support, allowing for explosive speed and agility. The boot's thermoformable properties ensure a customized fit, contouring to your foot's unique shape, maximizing energy transfer, and reducing any negative space for optimal performance. Equipped with a pro stock 48oz felt tongue, the Bauer Vapor X5 Pro skates offer enhanced forward flex and added protection, allowing you to push the limits without compromising comfort and protection. The Flex Facing design promotes a deeper forward flex, optimizing your stride and providing increased power generation with every stride. Glide effortlessly across the ice, effortlessly maneuvering through tight spaces and leaving defenders in your wake. The Vapor X5 Pro skates feature the all-new powerfly blade holder. This is Bauer’s most innovative holder to date. Inspired by the OD1N prototype, this holder delivers lightning-fast turns and explosive acceleration. Coupled with a new steel line that improves the security of the blade and the durability of the holder. Comfort is paramount during long hours on the ice, and the X5 Pro skates deliver unprecedented comfort. The lockfit footbed ensures maximum support and stability, reducing fatigue and increasing energy transfer. The hydrolite liner wicks away moisture, keeping your feet dry and comfortable throughout the game, while the Aerofoam ankle pads provide elite cushioning and protection. If you are an elite player looking for the pinnacle of innovation, the Bauer Vapor X5 Pro Ice Hockey Skates redefine what it means to dominate on the ice. Elevate your performance and leave your opponents behind with these game-changing skates."
Bauer Vapor X4 Senior Ice Hockey Skates,$374.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698605327-1-new.jpg,Skates,"Introducing the Bauer Vapor X4 Ice Hockey Skates, the ultimate skate for competitive players looking to enhance their speed, agility, and overall performance on the ice. These skates combine cutting-edge technology, superior craftsmanship, and a sleek design to provide you with the competitive edge you need to dominate the game. The Vapor X4 skates feature a durable and lightweight 3D lasted CURV composite quarter package that delivers excellent support and stability during intense play. The thermoformed boot adds an extra layer of structural support, ensuring maximum power transfer with every stride. Equipped with a comfort edge sublimated liner, the Vapor X4 skates wick away moisture and provide a snug, anatomical fit. This liner technology keeps your feet dry and reduces slippage, allowing you to maintain precise control over your movements on the ice. The X4 skates boast an integrated anatomical heel and ankle support system that securely locks your foot in place, reducing the risk of injury and providing a responsive and efficient energy transfer. The Tuuk Lightspeed Edge blade holder and lightspeed pulse stainless steel runners provide excellent stability and durability, allowing for quick turns and effortless glides. Designed with speed in mind, the Bauer Vapor X4 skates feature a tapered fit profile, offering a snug and responsive feel. The low-profile design allows for a greater range of motion, enabling quick acceleration and rapid changes in direction. Whether you're a seasoned player or just starting your hockey journey, the Bauer Vapor X4 Ice Hockey Skates are engineered to enhance your performance on the ice. Experience the speed, agility, and precision you need to outmaneuver your opponents and take your game to new heights."
Bauer Vapor FlyLite Senior Ice Hockey Skates With Runner,"$1,179.99",Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-flylite-sr-bundle.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698704211-ti-1_1.jpg,Skates,"These are for players who live on the attack, who fly into the zone outnumbered, and create time and space out of thin air. The Bauer Vapor FlyLite Senior Ice Hockey Skates introduce the most reactive and energized components we’ve ever put in a skate. Why? Because your game demands it. Designed to harness the full extent of your hockey IQ, hyper-flexible materials found throughout the skate have been fused together to move with you and help you react and adapt at a millisecond’s notice. And with active elasticity properties, you can experience more energy in every stride while staying agile and elusive anywhere on the ice. The next era of Vapor is here. Get ready to fly."
Bauer Supreme M50 Pro Senior Ice Hockey Skates With Runner,$849.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m50-pro-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639506-ti-1.jpg,Skates,"Become a force on the ice next time your number is called with the Bauer Supreme M50 Pro Senior Ice Hockey Skates. Designed for elite-level power skaters, The M50 Pro helps optimize on-ice energy, control and agility through trusted pro-level tech, helping to push your game forward with every stride."
Bauer Vapor Hyperlite 2 Senior Ice Hockey Skates With Runner,$844.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-hyperlite-2-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698587784-1-new-1_2.jpg,Skates,"Introducing the revolutionary Bauer Vapor Hyperlite 2 Ice Hockey Skates, the next generation of performance and innovation. Engineered to elevate your game to new heights, these skates combine cutting-edge technology, superior comfort, and unmatched responsiveness for the ultimate on-ice experience. Crafted with precision and meticulous attention to detail, the Vapor Hyperlite 2 skates feature a lightweight and durable construction. The 3D lasted carbon CURV Composite quarter package provides exceptional stiffness and support, allowing for explosive speed and agility. The boot's thermoformable properties ensure a customized fit, contouring to your foot's unique shape, maximizing energy transfer, and reducing any negative space for optimal performance. Equipped with the all-new Aerolite 2.0 tongue, the Bauer Vapor Hyperlite 2 skates offer enhanced forward flex and added protection, allowing you to push the limits without compromising comfort and protection. The Flex Facing design promotes a deeper forward flex, optimizing your stride and providing increased power generation with every stride. Glide effortlessly across the ice, effortlessly maneuvering through tight spaces and leaving defenders in your wake. The Vapor Hyperlite 2 skates feature the all-new powerfly blade holder. This is Bauer’s most innovative holder to date. Inspired by the OD1N prototype, this holder delivers lightning-fast turns and explosive acceleration. Coupled with a new steel line that improves the security of the blade and the durability of the holder. Comfort is paramount during long hours on the ice, and the Hyperlite 2 skates deliver unprecedented comfort. The lockfit footbed ensures maximum support and stability, reducing fatigue and increasing energy transfer. The Lock-Fit Pro liner wicks away moisture, keeping your feet dry and comfortable throughout the game, while the Aerofoam Pro ankle pads provide superior cushioning and protection. With their sleek and modern design, the Bauer Vapor Hyperlite 2 Ice Hockey Skates are the epitome of style and functionality. Turn heads with the eye-catching graphics and take your game to the next level with the skates that have set a new standard in performance and innovation. If you are an elite player looking for the pinnacle of innovation, the Bauer Vapor Hyperlite 2 Ice Hockey Skates redefine what it means to dominate on the ice. Elevate your performance and leave your opponents behind with these game-changing skates."
True HZRDUS 9X Senior Ice Hockey Skates,$379.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-9x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489123475-1-new.jpg,Skates,"Introducing the True HZRDUS 9X Ice Hockey Skates – where power, response, and control unite to take your game to the next level. Developed as an evolution of the original TF skate line, these skates are meticulously engineered to provide unparalleled speed, agility, and control on the ice. Whether you're a seasoned professional or a competitive player, the True HZRDUS 9X Skates will elevate your performance and give you the edge you need to dominate the game. The True HZRDUS 9X Skates boast a cutting-edge design that combines lightweight construction with exceptional strength. The result is a skate that offers optimal energy transfer and explosive acceleration, allowing you to reach top speeds with ease. The precision crafted Neurofit+ one-piece shell design delivers outstanding support and stability, ensuring that every stride is efficient and powerful with more direct energy transfer. Comfort is a top priority with the True HZRDUS 9X Skates. The advanced heat-moldable technology allows the skates to conform to the unique contours of your feet, providing a personalized fit that maximizes comfort and minimizes foot fatigue. The all-new Hydrofoam liner is a dimpled liner for improved heel lock and comfort. These skates will keep you focused on the game, not your feet. The True HZRDUS 9X Skates feature their revolutionary blade system, Shift Max, that enhances maneuverability and control. The high-performance steel blades are designed for maximum agility and responsiveness, allowing for quick turns and precise stops. With these skates, you'll have the confidence to make lightning-fast moves and outmaneuver your opponents effortlessly. Durability is built into every aspect of the True HZRDUS 9X Skates. The reinforced CARV toe cap gives you a low profile that allows for better turning & clearance. Added ankle support provides exceptional protection against impacts and collisions, ensuring that your skates can withstand the rigors of intense gameplay. These skates are built to last, giving you the peace of mind to focus on the game. The True HZRDUS 9X Skates also feature a redesigned tendon guard for greater response. Along with the redesigned tendon guard they will also have an asymmetrical tongue for maximum comfort and lace bite protection. The True HZRDUS 9X Ice Hockey Skates are the pinnacle of performance and innovation. With their lightweight yet sturdy construction, personalized fit, and superior blade system, these skates are engineered to give you elite performance on the ice. Experience speed, precision of control, and confidence of durability with the True HZRDUS 9X Skates. Unleash your true potential and dominate the game like never before."
Bauer Supreme Shadow Senior Ice Hockey Skates With Runner,"$1,129.99",Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-shadow-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639483-ti-1.jpg,Skates,"Introducing the Bauer Supreme Shadow Senior Ice Hockey Skates; the most innovative Supreme skate yet, designed specifically for the future of the game! The game of hockey has evolved. Plays are faster, nets feel smaller and margins for error are even tighter. Players need more than skill alone to push their team over the finish line. Having the right tools at your disposal is key to outsmarting, outskating and outplaying every opponent in your path The Shadow skate brings unmatched power to the ice like you’ve never seen. Engineered for the new era of power skaters, the lower portion of the Shadow uses stiffer materials for increased energy creation and explosiveness, while the upper portion uses a more flexible and responsive material to maximize range of motion for game-breaking deception, putting unrivaled power and agility on full display."
CCM Tacks XF Pro Senior Ice Hockey Skates,"$1,199.99",CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-pro-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520835941-1_34.jpg,Skates,"Introducing the all-new CCM Tacks XF Pro Senior Ice Hockey Skates! Designed for the elite power skater, Tacks skates offer long, strong strides and maximum force generation in a stiff package. Improvements in design allow for a more comfortable fit than previously seen; you might never want to take these skates off!"
Bauer Vapor X4 Intermediate Ice Hockey Skates,$299.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x4-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698605419-1.jpg,Skates,"Introducing the Bauer Vapor X4 Ice Hockey Skates, the ultimate skate for competitive players looking to enhance their speed, agility, and overall performance on the ice. These skates combine cutting-edge technology, superior craftsmanship, and a sleek design to provide you with the competitive edge you need to dominate the game. The Vapor X4 skates feature a durable and lightweight 3D lasted CURV composite quarter package that delivers excellent support and stability during intense play. The thermoformed boot adds an extra layer of structural support, ensuring maximum power transfer with every stride. Equipped with a comfort edge sublimated liner, the Vapor X4 skates wick away moisture and provide a snug, anatomical fit. This liner technology keeps your feet dry and reduces slippage, allowing you to maintain precise control over your movements on the ice. The X4 skates boast an integrated anatomical heel and ankle support system that securely locks your foot in place, reducing the risk of injury and providing a responsive and efficient energy transfer. The Tuuk Lightspeed Edge blade holder and lightspeed pulse stainless steel runners provide excellent stability and durability, allowing for quick turns and effortless glides. Designed with speed in mind, the Bauer Vapor X4 skates feature a tapered fit profile, offering a snug and responsive feel. The low-profile design allows for a greater range of motion, enabling quick acceleration and rapid changes in direction. Whether you're a seasoned player or just starting your hockey journey, the Bauer Vapor X4 Ice Hockey Skates are engineered to enhance your performance on the ice. Experience the speed, agility, and precision you need to outmaneuver your opponents and take your game to new heights."
Bauer Vapor Fly30 Senior Ice Hockey Skates,$319.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-fly30-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698708981-1_23.jpg,Skates,"It feels good to fly. The Bauer Vapor Fly30 Senior Ice Hockey Skates were created with two things in mind: comfort and performance. From the moment you slip your feet in, you’ll never want to take them off. With comfort padding in the ankles and a forgiving and flexible boot — long days on the ice with friends will be even more enjoyable."
